date,tracking_code,campaignname,adgroup,keyword,Impressions,Clicks, cost 
2016-12-25,ps_ggl_63298,B2C_NB_Fed Volatility_Standard,Yield Curve Exact,yield curve chart,13.00,3,3.93
2016-12-25,ps_ggl_63344,B2C_NB_Fed Volatility_Standard,Interest Rate History Exact,historical interest rates,16.00,3,6.28
2016-12-25,ps_ggl_63304,B2C_NB_Fed Volatility_Standard,Interest Rates Raise Exact,interest rate rise,26.00,3,11.89
2016-12-25,ps_ggl_63148,B2C_NB_Fed Volatility_Standard,Interest Rates Today Exact,today's interest rates,35.00,3,22.51
2016-12-25,ps_ggl_63317,B2C_NB_Fed Volatility_Standard,Federal Interest Rate Broad Match Modified,+interest +rates +fed,37.00,3,19.64
2016-12-25,ps_ggl_63149,B2C_NB_Fed Volatility_Standard,Inflation Broad Match Modified,+inflation +expectations,47.00,3,20.00
2016-12-25,ps_ggl_63138,B2C_NB_Fed Volatility_Standard,Federal Funds Exact,fed x rate,51.00,3,13.65
2016-12-25,ps_ggl_63308,B2C_NB_Fed Volatility_Standard,Federal Interest Rate Exact,fed rate,85.00,3,8.23
2016-12-25,ps_ggl_63315,B2C_NB_Fed Volatility_Standard,Interest Rates Broad Match Modified,+interest +rate +change,94.00,3,16.86
2016-12-25,ps_ggl_41299,B2C_NB_Income Funds_Standard,Income Fund Phrase,income funds,32.00,3,25.58
2016-12-25,ps_ggl_50900,B2C_NB_Market Fluctuations_Staying The Course,Invest Long Term Broad Match Modify,+invest +long +term,67.00,3,14.94
2016-12-25,ps_ggl_50911,B2C_NB_Market Fluctuations_Timing The Market,Market Timing Broad Match Modify,+time +the +market,144.00,3,12.77
2016-12-25,ps_msn_38666,B2C_NB_Retirement Plans_Standard,Retirement Income Phrase,retirement income,922.00,3,7.00
2016-12-25,ps_ggl_41123,B2C_NB_Tax-Exempt Bond Funds_Standard,Tax Free Bond Fund Exact,tax free municipal bonds,28.00,3,34.87
2016-12-25,ps_ggl_41986,B2C_BR_College 529_Standard,Company X  College 529 Broad Match Modify,college 529 +company +funds,15.00,4,10.48
2016-12-25,ps_msn_38526,B2C_BR_New Perspective_Standard,Company X  New Perspective Broad Match Modify,+company +x new perspective fund,9.00,4,2.79
2016-12-25,ps_msn_39397,B2C_BR_Retirement Plans_Standard,Company X  Retirement Plans Broad Match Modify,+company +x retirement plans,18.00,4,9.38
2016-12-25,ps_ggl_41255,B2C_NB_401K_Standard,401K Plan Exact,401 k plan,40.00,4,23.87
2016-12-25,ps_msn_39103,B2C_NB_401K_Standard,401K Phrase,401 k,497.00,4,7.23
2016-12-25,ps_ggl_41813,B2C_NB_College 529_Standard,College 529 Exact,college fund 529,54.00,4,24.81
2016-12-25,ps_msn_61347,B2C_NB_Election 2016_Standard_DT,Donald Trump General Broad Match Modified,+donald +trump,667.00,4,2.85
2016-12-25,ps_msn_61455,B2C_NB_Election 2016_Standard_DT,Donald Trump General Exact,trump news,1095.00,4,2.00
2016-12-25,ps_msn_63971,B2C_NB_Fed Volatility_Standard,US Interest Rates Broad Match Modified,+us +interest +rates,24.00,4,3.60
2016-12-25,ps_ggl_63307,B2C_NB_Fed Volatility_Standard,Interest Rates Increase Exact,interest rate increase,28.00,4,13.47
2016-12-25,ps_ggl_63227,B2C_NB_Fed Volatility_Standard,Treasury Broad Match Modified,+treasury +interest +rates,57.00,4,15.54
2016-12-25,ps_ggl_63179,B2C_NB_Fed Volatility_Standard,Interest Rates Today Broad Match Modified,+today's +interest +rates,63.00,4,29.95
2016-12-25,ps_ggl_63342,B2C_NB_Fed Volatility_Standard,Interest Rate History Broad Match Modified,+historical +interest +rates,64.00,4,9.19
2016-12-25,ps_msn_63936,B2C_NB_Fed Volatility_Standard,Current Rates Broad Match Modified,+interest +rate +current,74.00,4,9.33
2016-12-25,ps_ggl_63234,B2C_NB_Fed Volatility_Standard,Federal Meeting Broad Match Modified,+fed +meeting,79.00,4,44.97
2016-12-25,ps_ggl_63115,B2C_NB_Fed Volatility_Standard,Federal Interest Rate Exact,federal interest rate,86.00,4,24.17
2016-12-25,ps_ggl_63269,B2C_NB_Fed Volatility_Standard,Federal Funds Broad Match Modified,+fed +x +rate,111.00,4,19.58
2016-12-25,ps_ggl_63165,B2C_NB_Fed Volatility_Standard,Interest Rates Broad Match Modified,+annual +interest +rate,238.00,4,23.30
2016-12-25,ps_ggl_63194,B2C_NB_Fed Volatility_Standard,Treasury Exact,treasury bonds,254.00,4,76.45
2016-12-25,ps_msn_38912,B2C_NB_Growth Funds_Standard,Growth Fund Phrase,growth fund,37.00,4,18.83
2016-12-25,ps_ggl_41252,B2C_NB_Income Funds_Standard,Income Fund Phrase,income fund,83.00,4,27.36
2016-12-25,ps_ggl_50679,B2C_NB_Market Fluctuations_Nearing Retirement,Investing For Retirement Broad Match Modify,+investing +for +retirement,160.00,4,43.72
2016-12-25,ps_msn_50502,B2C_NB_Market Fluctuations_Past Market Declines,Stock Market Performance Broad Match Modify,+stock +market +stock +market,235.00,4,6.93
2016-12-25,ps_ggl_50756,B2C_NB_Market Fluctuations_Past Market Declines,US Stock Market Broad Match Modify,+the +us +stock +market,462.00,4,6.50
2016-12-25,ps_ggl_50838,B2C_NB_Market Fluctuations_Strategies For Investing,Investment Strategy Broad Match Modify,+investing +strategies,1245.00,4,33.23
2016-12-25,ps_msn_38628,B2C_NB_Retirement Plans_Standard,Retirement Saving Phrase,retirement savings plans,47.00,4,17.69
2016-12-25,ps_msn_38675,B2C_NB_Retirement Plans_Standard,Retirement Funds Phrase,retirement funds,79.00,4,7.03
2016-12-25,ps_ggl_41658,B2C_NB_SEP IRA_Standard,SEP IRA Phrase,sep ira,360.00,4,31.71
2016-12-25,ps_ggl_41140,B2C_NB_Simple IRA_Standard,Simple IRA Exact,simple ira,62.00,4,14.16
2016-12-25,ps_ggl_41152,B2C_NB_UGMA_Standard,UGMA Exact,ugma account,33.00,4,4.22
2016-12-25,ps_ggl_40618,B2C_BR_Balanced Funds_Standard,Company X  Balanced Fund Broad Match Modify,+company +x company balanced fund,8.00,5,8.75
2016-12-25,ps_ggl_40642,B2C_BR_Brand Core_Standard,Capital Group Exact,Capital Group,77.00,5,5.03
2016-12-25,ps_msn_55899,B2C_BR_Capital Ideas_Standard,Capital Ideas Broad Match Modify,+capital ideas,539.00,5,46.27
2016-12-25,ps_ggl_41479,B2C_BR_Retirement Plans_Standard,Company X  Retirement Plans Broad Match Modify,+company +x retirement,28.00,5,2.72
2016-12-25,ps_ggl_41788,B2C_NB_401K_Standard,401K Plan Exact,401k plans,22.00,5,53.22
2016-12-25,ps_ggl_40952,B2C_NB_401K_Standard,401K Retirement Plan Exact,401k retirement plan,52.00,5,89.55
2016-12-25,ps_ggl_41284,B2C_NB_College 529_Standard,Virginia 529 Exact,virginia 529,148.00,5,22.03
2016-12-25,ps_ggl_60690,B2C_NB_Election 2016_Standard_DT,Donald Trump General Broad Match Modified,+news +donald +trump,636.00,5,24.64
2016-12-25,ps_msn_63861,B2C_NB_Fed Volatility_Standard,Current Rates Exact,current interest rates,29.00,5,9.27
2016-12-25,ps_ggl_63245,B2C_NB_Fed Volatility_Standard,Interest Rates Broad Match Modified,+interest +rate +predictions,54.00,5,31.43
2016-12-25,ps_ggl_63216,B2C_NB_Fed Volatility_Standard,Interest Rates Raise Broad Match Modified,+feds +raising +interest +rates,70.00,5,32.82
2016-12-25,ps_ggl_63231,B2C_NB_Fed Volatility_Standard,Federal Interest Rate Broad Match Modified,+the +fed +interest +rates,80.00,5,41.74
2016-12-25,ps_ggl_63230,B2C_NB_Fed Volatility_Standard,Federal Interest Rate Broad Match Modified,+federal +interest +rate,106.00,5,35.05
2016-12-25,ps_ggl_63172,B2C_NB_Fed Volatility_Standard,Federal Interest Rate Exact,fed interest rates,108.00,5,39.36
2016-12-25,ps_ggl_63102,B2C_NB_Fed Volatility_Standard,Federal Interest Rate Broad Match Modified,+fed +interest +rates,157.00,5,18.09
2016-12-25,ps_ggl_63208,B2C_NB_Fed Volatility_Standard,Yield Curve Broad Match Modified,+yield +rate,188.00,5,80.15
2016-12-25,ps_ggl_41779,B2C_NB_Retirement Plans_Standard,Retirement Plan Exact,retirement planning,141.00,5,77.59
2016-12-25,ps_ggl_41772,B2C_BR_College 529_Standard,Company X  529 Exact,company x 529,21.00,6,8.57
2016-12-25,ps_ggl_41477,B2C_BR_College 529_Standard,College America 529 Exact,collegeamerica,38.00,6,14.18
