date,tracking_code,campaign,placement,creative,site(DCM),impression,clicks, cost 
10/1/2016,DS_9291572_674639_134668051_307292584_67439960,B2C_Investor_ 2016CY,Investor_Facebook_1x1,Tracking Creative,Facebook,1528086,0,0
10/1/2016,DS_9291572_2106501_126155460_299587824_67439960,B2C_Investor_ 2016CY,Investor_Native Ad Unit_Behavioral Targeting_Multiple/Dynamic Sizes_1x1,Tracking Creative,"Nativo, Inc",158895,0,2906.29
10/1/2016,DS_9291572_1855905_126150868_299587824_67439960,B2C_Investor_ 2016CY,Investor_CNBC ROS Mobile Web_320x50_1x1,Tracking Creative,CNBC,64763,105,194.29
10/1/2016,DS_9291572_1312649_133837063_306506353_67439960,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Pre Roll Video,Tracking Creative,coreaudience.com,48316,37,773.06
10/1/2016,DS_9291572_1312649_133837062_306506353_67439960,B2C_Investor_ 2016CY,Desktop Package_Primary Site List_Pre Roll Video,Tracking Creative,coreaudience.com,44107,22,705.71
10/1/2016,DS_9291572_953793_126154339_299587824_67439960,B2C_Investor_ 2016CY,Investor_CNNMoney_ROS Video_Desktop_Preroll_15 or 30 Seconds,Tracking Creative,CNNMoney.com,29539,946,1181.56
10/1/2016,DS_9291572_1312649_126155477_299137099_68162955,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_728x90,Investor_LowFees_728x90,coreaudience.com,25806,7,219.35
10/1/2016,DS_9291572_1312649_126155477_299137099_68165803,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_728x90,Investor_System_728x90,coreaudience.com,25630,7,217.86
10/1/2016,DS_9291572_1312649_126155477_299137099_69123842,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_728x90,Investor_Results Stat 2 2.29_728x90,coreaudience.com,25454,4,216.36
10/1/2016,DS_9291572_1312649_126155477_299137099_70324694,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_728x90,Investor_Global Research v.2_728x90,coreaudience.com,25439,13,216.23
10/1/2016,DS_9291572_1312649_126155477_299137473_68164252,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x600,Investor_System_300x600,coreaudience.com,23656,21,201.08
10/1/2016,DS_9291572_1312649_126155477_299137473_69126143,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x600,Investor_Results Stat 2 2.29_300x600,coreaudience.com,23645,17,200.98
10/1/2016,DS_9291572_1312649_126155477_299137473_70333951,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x600,Investor_Global Research v.2_300x600,coreaudience.com,23626,16,200.82
10/1/2016,DS_9291572_1312649_126155477_299137473_68162179,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x600,Investor_LowFees_300x600,coreaudience.com,23422,12,199.09
10/1/2016,DS_9291572_702495_126155014_299137066_56815289,B2C_Investor_ 2016CY,Investor_Run of Personal Finance_320x50_1x1,pixel 1x1.jpg,kiplinger.com,18640,0,27.96
10/1/2016,DS_9291572_1312649_126155464_303358625_70340428,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_300x250,Investor_Global Research v.2_300x250,coreaudience.com,18261,3,155.22
10/1/2016,DS_9291572_1312649_126155464_303358625_69129058,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_300x250,Investor_Results Stat 2 2.29_300x250,coreaudience.com,18160,2,154.36
