date,tracking_code,campaign,placement,creative,site(DCM),impression,clicks, cost 
10/1/2016,DS_9291572_1312649_126155464_303358625_68165124,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_300x250,Investor_System_300x250,coreaudience.com,18036,1,153.31
10/1/2016,DS_9291572_1312649_126155464_303358625_68161982,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_300x250,Investor_LowFees_300x250,coreaudience.com,17888,5,152.05
10/1/2016,DS_9291572_1855905_126154313_299587824_67439960,B2C_Investor_ 2016CY,Investor_CNBC ROS Pre-Roll,Tracking Creative,CNBC,16666,110,666.64
10/1/2016,DS_9291572_1312649_126155477_299137093_68161982,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x250,Investor_LowFees_300x250,coreaudience.com,15326,1,130.27
10/1/2016,DS_9291572_1312649_126155477_299137093_68165124,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x250,Investor_System_300x250,coreaudience.com,15260,0,129.71
10/1/2016,DS_9291572_1312649_126155477_299137093_70340428,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x250,Investor_Global Research v.2_300x250,coreaudience.com,15250,1,129.63
10/1/2016,DS_9291572_1312649_126155477_299137093_69129058,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x250,Investor_Results Stat 2 2.29_300x250,coreaudience.com,15139,0,128.68
10/1/2016,DS_9291572_1526601_126150898_306594418_67439960,B2C_Investor_ 2016CY,Investor_Run of Site Smartmatch_300x600_ 1x1,Tracking Creative,Bloomberg,12217,24,1404.96
10/1/2016,DS_9291572_1664565_126155040_306591582_67439960,B2C_Investor_ 2016CY,Investor_WSJ ROS_SmartMatch_300x600_ 1x1,Tracking Creative,WSJDN,10535,14,711.11
10/1/2016,DS_9291572_2106501_126155463_299587824_67439960,B2C_Investor_ 2016CY,Investor_Added Value Impressions 6%_1x1,Tracking Creative,"Nativo, Inc",10100,0,0
10/1/2016,DS_9291572_1312649_126155477_299137099_69129227,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_728x90,Investor_Tenure Martin 2.29_728x90,coreaudience.com,9007,3,76.56
10/1/2016,DS_9291572_1312649_126155477_299137099_69123816,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_728x90,Investor_Tenure Noriko  2.29_728x90,coreaudience.com,9006,2,76.55
10/1/2016,DS_9291572_1312649_126155477_299137099_68273537,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_728x90,Investor_Tenure John_728x90,coreaudience.com,8790,0,74.72
10/1/2016,DS_9291572_1312649_126155477_299137473_68268782,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x600,Investor_Tenure John_300x600,coreaudience.com,8374,3,71.18
10/1/2016,DS_9291572_1312649_126155464_303358625_70340428,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_300x250,Investor_Global Research v.2_300x250,coreaudience.com,8326,2,70.77
10/1/2016,DS_9291572_1312649_126155464_303358625_68161982,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_300x250,Investor_LowFees_300x250,coreaudience.com,8241,2,70.05
10/1/2016,DS_9291572_1312649_126155477_299137473_69227172,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x600,Investor_Tenure Noriko 2.29_300x600,coreaudience.com,8154,5,69.31
10/1/2016,DS_9291572_1312649_126155477_299137473_69127088,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x600,Investor_Tenure Martin 2.29_300x600,coreaudience.com,8141,8,69.2
10/1/2016,DS_9291572_1312649_126155464_303358625_69129058,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_300x250,Investor_Results Stat 2 2.29_300x250,coreaudience.com,8111,0,68.94
10/1/2016,DS_9291572_1312649_126155464_303358625_68165124,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_300x250,Investor_System_300x250,coreaudience.com,8105,3,68.89
10/1/2016,DS_9291572_1312649_126155477_299477034_68165100,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_160x600,Investor_LowFees_160x600,coreaudience.com,7680,15,65.28
10/1/2016,DS_9291572_1312649_126155477_299477034_68165123,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_160x600,Investor_System_160x600,coreaudience.com,7629,9,64.85
10/1/2016,DS_9291572_1312649_126155477_299477034_70328460,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_160x600,Investor_Global Research v.2_160x600,coreaudience.com,7498,11,63.73
10/1/2016,DS_9291572_1312649_126155477_299477034_69129057,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_160x600,Investor_Results Stat 2 2.29_160x600,coreaudience.com,7493,10,63.69
10/1/2016,DS_9291572_1312649_126155464_303357541_69123842,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_728x90,Investor_Results Stat 2 2.29_728x90,coreaudience.com,7453,1,63.35
10/1/2016,DS_9291572_1312649_126155464_303357541_68162955,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_728x90,Investor_LowFees_728x90,coreaudience.com,7428,0,63.14
10/1/2016,DS_9291572_1312649_126155464_303357541_70324694,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_728x90,Investor_Global Research v.2_728x90,coreaudience.com,7379,0,62.72
10/1/2016,DS_9291572_1312649_126155464_303357541_68165803,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_728x90,Investor_System_728x90,coreaudience.com,7368,1,62.63
10/1/2016,DS_9291572_1312649_126155482_299137093_68165124,B2C_Investor_ 2016CY,Investor_ADDED VALUE: Bonus Desktop Display Impressions_300x250,Investor_System_300x250,coreaudience.com,7149,3,0
10/1/2016,DS_9291572_1312649_126155482_299137093_68161982,B2C_Investor_ 2016CY,Investor_ADDED VALUE: Bonus Desktop Display Impressions_300x250,Investor_LowFees_300x250,coreaudience.com,7063,2,0
10/1/2016,DS_9291572_1312649_126155482_299137093_69129058,B2C_Investor_ 2016CY,Investor_ADDED VALUE: Bonus Desktop Display Impressions_300x250,Investor_Results Stat 2 2.29_300x250,coreaudience.com,7026,1,0
10/1/2016,DS_9291572_1312649_126155482_299137093_70340428,B2C_Investor_ 2016CY,Investor_ADDED VALUE: Bonus Desktop Display Impressions_300x250,Investor_Global Research v.2_300x250,coreaudience.com,7004,1,0
10/1/2016,DS_9291572_1320102_126155026_299137099_69123842,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_728x90,Investor_Results Stat 2 2.29_728x90,Washington Post Digital,6397,5,55.01
10/1/2016,DS_9291572_1312649_126155464_303358625_69129019,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_300x250,Investor_Tenure Noriko 2.29_300x250,coreaudience.com,6381,0,54.24
10/1/2016,DS_9291572_1320102_126155021_299137099_68162955,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_728x90,Investor_LowFees_728x90,Washington Post Digital,6330,7,56.34
10/1/2016,DS_9291572_1320102_126155026_299137099_68165803,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_728x90,Investor_System_728x90,Washington Post Digital,6326,2,54.4
10/1/2016,DS_9291572_1320102_126155026_299137099_68162955,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_728x90,Investor_LowFees_728x90,Washington Post Digital,6301,4,54.19
10/1/2016,DS_9291572_1312649_126155464_303358625_69126123,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_300x250,Investor_Tenure Martin 2.29_300x250,coreaudience.com,6293,0,53.49
10/1/2016,DS_9291572_1320102_126155021_299137099_68165803,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_728x90,Investor_System_728x90,Washington Post Digital,6286,1,55.95
10/1/2016,DS_9291572_1312649_126155464_303358625_68269976,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_300x250,Investor_Tenure John_300x250,coreaudience.com,6275,0,53.34
10/1/2016,DS_9291572_702495_126155441_299137066_56815289,B2C_Investor_ 2016CY,Investor_Mutual Funds Topic_Mobile_320x50_1x1,pixel 1x1.jpg,kiplinger.com,6272,0,12.54
10/1/2016,DS_9291572_1320102_126155021_299137099_70324694,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_728x90,Investor_Global Research v.2_728x90,Washington Post Digital,6267,1,55.78
10/1/2016,DS_9291572_1320102_126155026_299137099_70324694,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_728x90,Investor_Global Research v.2_728x90,Washington Post Digital,6246,1,53.72
10/1/2016,DS_9291572_1320102_126155021_299137099_69123842,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_728x90,Investor_Results Stat 2 2.29_728x90,Washington Post Digital,6159,0,54.82
10/1/2016,DS_9291572_1320102_126155022_299137093_69129058,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_300x250,Investor_Results Stat 2 2.29_300x250,Washington Post Digital,5708,4,81.62
10/1/2016,DS_9291572_1320102_126155022_299137093_70340428,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_300x250,Investor_Global Research v.2_300x250,Washington Post Digital,5688,4,81.34
10/1/2016,DS_9291572_1320102_126155022_299137093_68165124,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_300x250,Investor_System_300x250,Washington Post Digital,5674,5,81.14
10/1/2016,DS_9291572_1320102_126155022_299137093_68161982,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_300x250,Investor_LowFees_300x250,Washington Post Digital,5654,2,80.85
10/1/2016,DS_9291572_1312649_126155477_299137093_69129019,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x250,Investor_Tenure Noriko 2.29_300x250,coreaudience.com,5387,0,45.79
10/1/2016,DS_9291572_1664565_126155077_299587824_67439960,B2C_Investor_ 2016CY,Investor_WMR(Oct)_ROS CIU(US Only)_300x1050_1x1,Tracking Creative,WSJDN,5289,8,253.87
10/1/2016,DS_9291572_1312649_126155477_299137093_69126123,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x250,Investor_Tenure Martin 2.29_300x250,coreaudience.com,5231,0,44.46
10/1/2016,DS_9291572_1312649_126155477_299137093_68269976,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_300x250,Investor_Tenure John_300x250,coreaudience.com,5219,0,44.36
10/1/2016,DS_9291572_1312649_126155464_303358625_68161982,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Sports_300x250,Investor_LowFees_300x250,coreaudience.com,5182,2,44.05
10/1/2016,DS_9291572_1312649_126155464_303358625_70340428,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Sports_300x250,Investor_Global Research v.2_300x250,coreaudience.com,5144,2,43.72
10/1/2016,DS_9291572_1312649_126155464_303358625_68165124,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Sports_300x250,Investor_System_300x250,coreaudience.com,5129,2,43.6
10/1/2016,DS_9291572_1320102_126155017_299137093_70340428,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_300x250,Investor_Global Research v.2_300x250,Washington Post Digital,5118,1,75.23
10/1/2016,DS_9291572_1320102_126155017_299137093_68161982,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_300x250,Investor_LowFees_300x250,Washington Post Digital,5117,4,75.22
10/1/2016,DS_9291572_1320102_126155017_299137093_68165124,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_300x250,Investor_System_300x250,Washington Post Digital,5090,3,74.82
10/1/2016,DS_9291572_1312649_126155464_303358625_69129058,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Sports_300x250,Investor_Results Stat 2 2.29_300x250,coreaudience.com,5053,2,42.95
10/1/2016,DS_9291572_1320102_126155017_299137093_69129058,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_300x250,Investor_Results Stat 2 2.29_300x250,Washington Post Digital,5045,1,74.16
10/1/2016,DS_9291572_1312649_126155482_299137099_68165803,B2C_Investor_ 2016CY,Investor_ADDED VALUE: Bonus Desktop Display Impressions_728x90,Investor_System_728x90,coreaudience.com,4753,0,0
10/1/2016,DS_9291572_1312649_126155482_299137099_70324694,B2C_Investor_ 2016CY,Investor_ADDED VALUE: Bonus Desktop Display Impressions_728x90,Investor_Global Research v.2_728x90,coreaudience.com,4744,4,0
10/1/2016,DS_9291572_1312649_126155482_299137099_69123842,B2C_Investor_ 2016CY,Investor_ADDED VALUE: Bonus Desktop Display Impressions_728x90,Investor_Results Stat 2 2.29_728x90,coreaudience.com,4693,0,0
10/1/2016,DS_9291572_1312649_126155482_299137099_68162955,B2C_Investor_ 2016CY,Investor_ADDED VALUE: Bonus Desktop Display Impressions_728x90,Investor_LowFees_728x90,coreaudience.com,4591,0,0
10/1/2016,DS_9291572_1852306_126154399_299137099_68165803,B2C_Investor_ 2016CY,Investor_Quotes Page_Desktop_728x90,Investor_System_728x90,The Street,4402,1,52.82
10/1/2016,DS_9291572_1320102_126155024_299137473_68162179,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_300x600,Investor_LowFees_300x600,Washington Post Digital,4400,7,82.28
10/1/2016,DS_9291572_1852306_126154399_299137099_68162955,B2C_Investor_ 2016CY,Investor_Quotes Page_Desktop_728x90,Investor_LowFees_728x90,The Street,4361,0,52.33
10/1/2016,DS_9291572_1852306_126154399_299137099_69123842,B2C_Investor_ 2016CY,Investor_Quotes Page_Desktop_728x90,Investor_Results Stat 2 2.29_728x90,The Street,4356,1,52.27
10/1/2016,DS_9291572_1320102_126155024_299137473_70333951,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_300x600,Investor_Global Research v.2_300x600,Washington Post Digital,4325,7,80.88
10/1/2016,DS_9291572_1320102_126155024_299137473_68164252,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_300x600,Investor_System_300x600,Washington Post Digital,4296,4,80.34
10/1/2016,DS_9291572_1320102_126155024_299137473_69126143,B2C_Investor_ 2016CY,Investor_High Net Worth Content Rotations_Desktop_300x600,Investor_Results Stat 2 2.29_300x600,Washington Post Digital,4260,9,79.66
10/1/2016,DS_9291572_1852306_126154399_299137099_70324694,B2C_Investor_ 2016CY,Investor_Quotes Page_Desktop_728x90,Investor_Global Research v.2_728x90,The Street,4250,0,51
10/1/2016,DS_9291572_1320102_126155019_299137473_68164252,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_300x600,Investor_System_300x600,Washington Post Digital,4139,2,78.64
10/1/2016,DS_9291572_1320102_126155019_299137473_68162179,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_300x600,Investor_LowFees_300x600,Washington Post Digital,4097,4,77.84
10/1/2016,DS_9291572_1320102_126155019_299137473_69126143,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_300x600,Investor_Results Stat 2 2.29_300x600,Washington Post Digital,4075,5,77.43
10/1/2016,DS_9291572_1320102_126155019_299137473_70333951,B2C_Investor_ 2016CY,Investor_Clavis 1st Party Custom Segment_Desktop_300x600,Investor_Global Research v.2_300x600,Washington Post Digital,4071,2,77.35
10/1/2016,DS_9291572_1312649_126155464_303356042_70333951,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_300x600,Investor_Global Research v.2_300x600,coreaudience.com,3956,1,33.63
10/1/2016,DS_9291572_1312649_126155464_303356042_69126143,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_300x600,Investor_Results Stat 2 2.29_300x600,coreaudience.com,3918,0,33.3
10/1/2016,DS_9291572_702495_126155450_299137066_56815289,B2C_Investor_ 2016CY,Investor_Investing Channel_Mobile_320x50_1x1,pixel 1x1.jpg,kiplinger.com,3896,0,7.79
10/1/2016,DS_9291572_1312649_126155464_303356042_68162179,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_300x600,Investor_LowFees_300x600,coreaudience.com,3847,1,32.7
10/1/2016,DS_9291572_1312649_126155464_303356042_68164252,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_300x600,Investor_System_300x600,coreaudience.com,3807,1,32.36
10/1/2016,DS_9291572_1526601_126154372_299137093_69129058,B2C_Investor_ 2016CY,Investor_B:POP Editorial Story Unit Popular in Finance_300x250,Investor_Results Stat 2 2.29_300x250,Bloomberg,3538,0,88.45
10/1/2016,DS_9291572_1526601_126154372_299137093_68161982,B2C_Investor_ 2016CY,Investor_B:POP Editorial Story Unit Popular in Finance_300x250,Investor_LowFees_300x250,Bloomberg,3537,2,88.43
10/1/2016,DS_9291572_1526601_126154372_299137093_68165124,B2C_Investor_ 2016CY,Investor_B:POP Editorial Story Unit Popular in Finance_300x250,Investor_System_300x250,Bloomberg,3528,3,88.2
10/1/2016,DS_9291572_1526601_126154372_299137093_70340428,B2C_Investor_ 2016CY,Investor_B:POP Editorial Story Unit Popular in Finance_300x250,Investor_Global Research v.2_300x250,Bloomberg,3424,2,85.6
10/1/2016,DS_9291572_1312649_126155464_303357541_69123842,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_728x90,Investor_Results Stat 2 2.29_728x90,coreaudience.com,3343,1,28.42
10/1/2016,DS_9291572_1312649_126155464_303357541_68165803,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_728x90,Investor_System_728x90,coreaudience.com,3323,0,28.25
10/1/2016,DS_9291572_953793_126284468_299137093_69129058,B2C_Investor_ 2016CY,Investor_CNNMoney_ROS_Mobile & Tablet_300x250,Investor_Results Stat 2 2.29_300x250,CNNMoney.com,3233,9,29.1
10/1/2016,DS_9291572_1312649_126155464_303357541_68162955,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_728x90,Investor_LowFees_728x90,coreaudience.com,3212,0,27.3
10/1/2016,DS_9291572_953793_126284468_299137093_70340428,B2C_Investor_ 2016CY,Investor_CNNMoney_ROS_Mobile & Tablet_300x250,Investor_Global Research v.2_300x250,CNNMoney.com,3212,7,28.91
10/1/2016,DS_9291572_953793_126284468_299137093_68161982,B2C_Investor_ 2016CY,Investor_CNNMoney_ROS_Mobile & Tablet_300x250,Investor_LowFees_300x250,CNNMoney.com,3182,3,28.64
10/1/2016,DS_9291572_1312649_126155464_303357541_70324694,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_728x90,Investor_Global Research v.2_728x90,coreaudience.com,3166,1,26.91
10/1/2016,DS_9291572_953793_126284468_299137093_68165124,B2C_Investor_ 2016CY,Investor_CNNMoney_ROS_Mobile & Tablet_300x250,Investor_System_300x250,CNNMoney.com,3163,1,28.47
10/1/2016,DS_9291572_1664565_126155074_299137473_69126143,B2C_Investor_ 2016CY,Investor_WMR(Oct)_RON_CT_Journal Reports & Experts Readers(US Only)_300x600,Investor_Results Stat 2 2.29_300x600,WSJDN,2967,1,148.35
10/1/2016,DS_9291572_1664565_126155074_299137473_68162179,B2C_Investor_ 2016CY,Investor_WMR(Oct)_RON_CT_Journal Reports & Experts Readers(US Only)_300x600,Investor_LowFees_300x600,WSJDN,2928,1,146.4
10/1/2016,DS_9291572_1852306_126154396_299141023_68228920,B2C_Investor_ 2016CY,Investor_Mutual Funds Index & Articles Pages_Desktop_970x250_Billboard,Investor_System_970x250,The Street,2903,6,46.45
10/1/2016,DS_9291572_1852306_126154396_299141023_70343687,B2C_Investor_ 2016CY,Investor_Mutual Funds Index & Articles Pages_Desktop_970x250_Billboard,Investor_Global Research v.2_970x250,The Street,2882,5,46.11
10/1/2016,DS_9291572_1664565_126155074_299137473_70333951,B2C_Investor_ 2016CY,Investor_WMR(Oct)_RON_CT_Journal Reports & Experts Readers(US Only)_300x600,Investor_Global Research v.2_300x600,WSJDN,2870,0,143.5
10/1/2016,DS_9291572_1664565_126155074_299137473_68164252,B2C_Investor_ 2016CY,Investor_WMR(Oct)_RON_CT_Journal Reports & Experts Readers(US Only)_300x600,Investor_System_300x600,WSJDN,2859,3,142.95
10/1/2016,DS_9291572_1312649_126155464_303358625_69129019,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_300x250,Investor_Tenure Noriko 2.29_300x250,coreaudience.com,2852,0,24.24
10/1/2016,DS_9291572_1312649_126155464_303358625_68269976,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_300x250,Investor_Tenure John_300x250,coreaudience.com,2846,0,24.19
10/1/2016,DS_9291572_1312649_126155464_303358625_69126123,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_Life Style_300x250,Investor_Tenure Martin 2.29_300x250,coreaudience.com,2841,1,24.15
10/1/2016,DS_9291572_1852306_126154396_299141023_68228183,B2C_Investor_ 2016CY,Investor_Mutual Funds Index & Articles Pages_Desktop_970x250_Billboard,Investor_LowFees_970x250,The Street,2836,2,45.38
10/1/2016,DS_9291572_1312649_126155477_299477034_69124810,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_160x600,Investor_Tenure Martin 2.29_160x600,coreaudience.com,2748,2,23.36
10/1/2016,DS_9291572_1312649_126155464_303357541_69123816,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_728x90,Investor_Tenure Noriko  2.29_728x90,coreaudience.com,2699,0,22.94
10/1/2016,DS_9291572_1312649_126155464_303357541_68273537,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_728x90,Investor_Tenure John_728x90,coreaudience.com,2691,0,22.87
10/1/2016,DS_9291572_1312649_126155477_299477034_69126118,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_160x600,Investor_Tenure Noriko 2.29_160x600,coreaudience.com,2656,2,22.58
10/1/2016,DS_9291572_1312649_126155477_299477034_68269471,B2C_Investor_ 2016CY,Desktop Package _Primary Site List_Affluent Investor_160x600,Investor_Tenure John_160x600,coreaudience.com,2653,5,22.55
10/1/2016,DS_9291572_1312649_126155482_299137093_68269976,B2C_Investor_ 2016CY,Investor_ADDED VALUE: Bonus Desktop Display Impressions_300x250,Investor_Tenure John_300x250,coreaudience.com,2584,0,0
10/1/2016,DS_9291572_1312649_126155464_303357541_69129227,B2C_Investor_ 2016CY,Desktop Package _Secondary Site List_Affluent Investor_News_728x90,Investor_Tenure Martin 2.29_728x90,coreaudience.com,2549,1,21.67
10/1/2016,DS_9291572_1312649_126155482_299137093_69126123,B2C_Investor_ 2016CY,Investor_ADDED VALUE: Bonus Desktop Display Impressions_300x250,Investor_Tenure Martin 2.29_300x250,coreaudience.com,2510,0,0
10/1/2016,DS_9291572_1312649_126155482_299137093_69129019,B2C_Investor_ 2016CY,Investor_ADDED VALUE: Bonus Desktop Display Impressions_300x250,Investor_Tenure Noriko 2.29_300x250,coreaudience.com,2499,0,0
10/1/2016,DS_9291572_1853903_126154323_299137093_68165124,B2C_Investor_ 2016CY,Investor_Y! Finance_Custom Segment_US_300x250,Investor_System_300x250,Yahoo! Finance,2495,2,32.44
10/1/2016,DS_9291572_1853903_126154329_299137093_69129058,B2C_Investor_ 2016CY,Investor_Y! Finance_Mutual Funds + ETFs_US_300x250,Investor_Results Stat 2 2.29_300x250,Yahoo! Finance,2423,1,31.5
10/1/2016,DS_9291572_1855905_126150867_299137093_69129058,B2C_Investor_ 2016CY,Investor_CNBC ROS Mobile Web_300x250,Investor_Results Stat 2 2.29_300x250,CNBC,2415,3,14.49
