date_time,tracking_code,visits,page_view,TOOL_STARTS,TOOL_COMPLETES,LIT_DOWNLOADSS,TOOL_DOWNLOADS,VID_STARTS, Sales 
7/1/2016,ps_ggl_37645,12,17,0,0,0,0,0,446.35
7/1/2016,ps_ggl_40687,12,46,0,0,0,0,0,481.81
7/1/2016,ds_9291572_2106501_126936229_300239102_0,12,95,24,17,0,0,0,715.90
7/1/2016,ps_ggl_34998,11,13,0,0,0,0,0,23.01
7/1/2016,ds_9291572_1312649_126155481_299137473_68162179,11,15,0,0,0,0,0,177.72
7/1/2016,ps_msn_38334,11,16,0,0,0,0,0,313.11
7/1/2016,ds_9291572_1312649_126155481_299137473_69126143,11,15,0,0,1,0,0,451.61
7/1/2016,ds_9291572_1855905_126150842_299587824_67439960,10,14,0,0,0,0,0,240.21
7/1/2016,ps_ggl_41067,10,69,0,0,2,0,0,279.07
7/1/2016,ps_ggl_34791,10,22,0,0,0,0,0,714.71
7/1/2016,ps_ggl_50756,10,10,0,0,0,0,0,812.49
7/1/2016,ps_msn_50521,10,12,0,0,0,0,0,946.53
7/1/2016,ps_ggl_41477,10,23,6,5,0,3,0,1473.05
7/1/2016,ps_ggl_34836,9,15,0,0,0,0,0,47.40
7/1/2016,11575086555,9,11,2,0,0,0,0,104.36
7/1/2016,ps_msn_38355,9,72,0,0,0,0,0,298.56
7/1/2016,ps_ggl_37679,9,25,0,0,0,0,0,581.10
7/1/2016,ps_msn_38348,9,13,0,0,0,0,0,677.62
7/1/2016,ps_ggl_36746,9,18,0,0,0,0,0,1338.16
7/1/2016,ps_msn_39395,9,41,0,0,0,0,0,1350.06
7/1/2016,ps_ggl_41088,8,9,0,0,0,0,0,11.71
7/1/2016,ps_msn_50401,8,11,0,0,0,0,0,12.80
7/1/2016,ps_msn_39090,8,9,0,0,0,0,0,17.95
7/1/2016,ps_ggl_53997,8,8,0,0,0,0,0,37.97
7/1/2016,11575086556,8,8,2,0,0,0,0,112.67
7/1/2016,ps_ggl_41144,8,8,0,0,0,0,0,156.09
7/1/2016,ps_ggl_40820,8,18,0,0,0,0,0,333.31
7/1/2016,ps_ggl_40969,8,33,0,0,0,0,0,385.35
7/1/2016,ps_ggl_41773,8,23,0,0,0,0,0,479.50
7/1/2016,ps_ggl_40802,8,12,0,0,0,0,0,859.40
7/1/2016,ps_ggl_41149,8,14,0,0,0,0,0,1142.92
7/1/2016,ds_9291572_1855905_126150843_299587824_67439960,8,8,0,0,0,0,0,1183.91
7/1/2016,ps_ggl_40620,8,14,0,0,0,0,0,1273.63
7/1/2016,ps_ggl_37646,8,15,0,0,0,0,0,1344.49
7/1/2016,11575086557,7,13,3,0,0,0,2,56.51
7/1/2016,ps_ggl_34812,7,22,0,0,0,0,0,75.43
7/1/2016,ds_9291572_1312649_126155479_299137099_69129227,7,7,0,0,0,0,0,140.09
7/1/2016,11576882113,7,11,2,0,0,0,0,174.47
7/1/2016,ps_ggl_40906,7,20,0,0,4,0,0,248.80
7/1/2016,ps_msn_38991,7,48,0,0,0,0,0,259.99
7/1/2016,ps_ggl_41986,7,52,0,0,0,0,0,586.20
7/1/2016,ds_9291572_1312649_126155479_299137099_69123816,7,7,0,0,0,0,0,586.70
7/1/2016,ps_msn_38675,7,17,1,0,0,0,0,722.42
7/1/2016,Vanity20025,7,58,0,0,0,0,0,898.78
7/1/2016,ps_msn_22566,7,40,0,0,0,0,0,1415.14
7/1/2016,ps_msn_39648,6,39,0,0,0,0,0,13.84
7/1/2016,ps_ggl_41899,6,8,0,0,0,0,0,27.25
7/1/2016,ps_msn_38707,6,11,1,0,0,0,0,49.59
7/1/2016,ps_ggl_40948,6,22,0,0,0,0,0,163.22
7/1/2016,ps_msn_38643,6,14,2,1,0,0,0,191.78
7/1/2016,76580537,6,13,0,0,0,0,1,227.93
7/1/2016,ps_ggl_40861,6,15,0,0,0,0,0,506.93
7/1/2016,ps_ggl_50702,6,8,0,0,0,0,0,599.90
7/1/2016,11575086361,6,39,0,0,0,0,0,612.38
7/1/2016,ps_msn_38986,6,45,0,0,0,0,0,627.16
7/1/2016,ps_ggl_37677,6,7,0,0,0,0,0,769.89
7/1/2016,ps_ggl_34838,6,28,0,0,0,0,0,959.74
7/1/2016,ps_msn_38141,5,9,0,0,1,0,0,68.04
7/1/2016,ps_ggl_34710,5,10,0,0,0,0,0,72.97
7/1/2016,11575086359,5,25,1,0,0,0,0,190.97
7/1/2016,ps_ggl_34839,5,6,0,0,0,0,0,329.00
7/1/2016,ds_9291572_1855905_126150867_299137093_68161982,5,7,0,0,0,0,0,334.73
7/1/2016,Vanity20004,5,82,7,5,0,5,0,336.34
7/1/2016,ps_msn_39664,5,10,0,0,0,0,0,375.36
7/1/2016,ps_ggl_40642,5,9,0,0,0,0,0,399.00
7/1/2016,ps_ggl_40813,5,8,0,0,0,0,0,412.94
7/1/2016,ps_ggl_41249,5,15,0,0,0,0,0,491.38
7/1/2016,ds_9291572_1852306_126154395_299137473_68164252,5,6,0,0,0,0,0,506.58
7/1/2016,ps_ggl_41326,5,28,0,0,0,0,0,583.68
7/1/2016,ps_ggl_35138,5,5,0,0,0,0,0,835.79
7/1/2016,ps_msn_50432,5,5,0,0,0,0,0,925.43
7/1/2016,ps_msn_39391,5,9,0,0,0,0,0,945.81
7/1/2016,ps_ggl_36845,5,28,0,0,0,0,0,1473.42
7/1/2016,ds_9291572_1312649_126155481_299137473_69227172,5,5,0,0,0,0,0,1529.30
7/1/2016,ps_ggl_41778,4,24,0,0,0,0,0,20.21
7/1/2016,ps_ggl_40805,4,27,1,0,0,0,1,36.64
7/1/2016,ds_9291572_702495_126155013_299137093_68161982,4,4,0,0,0,0,0,38.97
7/1/2016,Vanity20049,4,47,0,0,2,0,0,46.40
7/1/2016,ps_ggl_50835,4,5,0,0,0,0,0,54.10
7/1/2016,ps_ggl_54023,4,4,0,0,0,0,0,62.83
7/1/2016,ps_ggl_42093,4,20,0,0,0,0,0,76.75
7/1/2016,ps_ggl_41984,4,9,0,0,0,0,0,81.21
7/1/2016,ps_ggl_41246,4,13,0,0,0,0,0,89.90
7/1/2016,ds_9291572_1855905_126150867_299137093_68165124,4,4,0,0,0,0,0,110.82
7/1/2016,ps_ggl_34835,4,7,0,0,0,0,0,137.87
7/1/2016,76491522,4,73,0,0,0,0,0,162.18
7/1/2016,ps_ggl_23028,4,28,0,0,0,0,0,174.03
7/1/2016,ds_9291572_1320102_126155024_299137473_69126143,4,4,0,0,0,0,0,176.00
7/1/2016,ps_msn_38539,4,8,0,0,0,0,0,177.11
7/1/2016,ds_9291572_2106501_126936229_300209985_0,4,6,0,0,0,0,0,190.36
7/1/2016,ds_9291572_1852303_126154349_299137473_68162179,4,9,0,0,0,0,0,195.20
7/1/2016,74654537,4,29,0,0,0,0,0,228.59
7/1/2016,ps_msn_22542,4,40,0,0,0,0,0,230.43
7/1/2016,ds_9291572_1664565_126154362_299137093_68161982,4,4,0,0,0,0,0,233.36
7/1/2016,ps_ggl_41116,4,15,1,0,1,0,0,234.62
7/1/2016,ps_msn_49149,4,12,0,0,1,0,0,338.54
7/1/2016,ps_msn_38367,4,10,0,0,0,0,0,345.39
7/1/2016,ps_ggl_42075,4,17,0,0,0,0,0,356.09
7/1/2016,ps_ggl_50841,4,4,0,0,0,0,0,405.48
7/1/2016,ps_msn_38645,4,4,0,0,0,0,0,426.87
7/1/2016,ps_msn_38659,4,4,0,0,0,0,0,565.34
7/1/2016,ps_msn_38607,4,4,0,0,0,0,0,610.40
7/1/2016,ps_ggl_41140,4,5,0,0,0,0,0,657.53
7/1/2016,ps_ggl_40612,4,16,0,0,0,0,0,742.03
7/1/2016,ds_9291572_1853903_126154332_299137093_69129058,4,4,0,0,0,0,0,743.65
7/1/2016,ps_ggl_23007,4,19,0,0,0,0,0,760.26
7/1/2016,ps_ggl_41813,4,13,2,0,0,0,0,830.20
7/1/2016,ds_9291572_953793_126284472_299137093_69129058,4,5,0,0,0,0,0,950.02
7/1/2016,ds_9291572_1853903_126154326_299137093_68161982,4,5,0,0,0,0,0,980.00
7/1/2016,ps_msn_38653,4,15,2,2,0,0,0,1152.41
7/1/2016,ps_ggl_41994,4,21,0,0,0,0,0,1360.00
7/1/2016,ps_ggl_41686,3,31,0,0,1,0,0,3.92
7/1/2016,ds_9291572_2385165_126150817_302953739_0,3,4,0,0,0,0,0,7.78
7/1/2016,ds_9291572_1320102_126155020_299137473_68164252,3,3,0,0,0,0,0,11.17
7/1/2016,ps_msn_39661,3,11,0,0,0,0,0,17.16
7/1/2016,ps_ggl_42160,3,10,0,0,0,0,0,23.59
7/1/2016,ds_9291572_1853903_126154323_299137093_68165124,3,3,0,0,0,0,0,31.93
7/1/2016,ps_msn_39627,3,10,0,0,0,0,0,33.14
7/1/2016,ps_ggl_41987,3,21,2,1,0,0,0,42.82
7/1/2016,11575086360,3,22,0,0,0,0,0,54.67
7/1/2016,ds_9291572_1320102_126155025_299137473_69227172,3,3,0,0,0,0,0,56.93
7/1/2016,ps_ggl_36135,3,13,0,0,0,0,0,64.13
7/1/2016,ds_9291572_1852306_126154395_299137473_69126143,3,4,0,0,0,0,0,64.45
7/1/2016,ds_9291572_1853903_126154327_299137099_70324694,3,3,0,0,0,0,0,69.50
7/1/2016,ps_msn_38523,3,13,0,0,0,0,0,72.30
7/1/2016,ps_ggl_37668,3,8,0,0,0,0,0,93.38
7/1/2016,ds_9291572_1853903_126154326_299137093_69129058,3,3,0,0,0,0,0,116.22
7/1/2016,ds_9291572_1526601_126154376_299137093_68165124,3,7,0,0,0,0,0,129.61
7/1/2016,76298365,3,20,0,0,0,0,0,143.08
7/1/2016,ps_ggl_37637,3,4,0,0,0,0,0,157.29
7/1/2016,ds_9291572_1852303_126150805_299587824_67439960,3,6,0,0,0,0,0,160.08
7/1/2016,ds_9291572_1853903_126154330_299137099_69123842,3,3,0,0,0,0,0,185.21
7/1/2016,76491521,3,21,0,0,0,0,0,197.33
7/1/2016,11576882112,3,3,1,0,0,0,0,254.37
7/1/2016,ds_9291572_1853903_126154332_299137093_69129019,3,3,0,0,0,0,0,258.69
7/1/2016,ps_msn_38361,3,11,0,0,0,0,0,258.93
7/1/2016,11576882114,3,5,1,0,0,0,0,331.08
7/1/2016,ps_ggl_37659,3,5,0,0,0,0,0,335.48
7/1/2016,ps_ggl_41534,3,10,0,0,0,0,0,363.42
7/1/2016,ps_ggl_40637,3,3,0,0,0,0,0,378.96
7/1/2016,ps_msn_38356,3,18,0,0,0,0,0,391.23
7/1/2016,ds_9291572_1853903_126154330_299137099_70324694,3,3,0,0,0,0,0,392.71
7/1/2016,ps_ggl_41060,3,4,0,0,0,0,0,421.61
7/1/2016,ps_ggl_41136,3,28,0,0,0,0,0,468.45
7/1/2016,ds_9291572_1852306_126154398_299137473_70333951,3,3,0,0,0,0,0,492.97
7/1/2016,ps_ggl_40949,3,4,0,0,0,0,0,511.57
7/1/2016,ps_ggl_41176,3,4,0,0,0,0,0,528.85
7/1/2016,ps_msn_38990,3,8,0,0,0,0,0,641.42
7/1/2016,ps_msn_50484,3,3,0,0,0,0,0,650.25
7/1/2016,sm_tw_10433,3,4,0,0,0,0,0,674.80
7/1/2016,ps_msn_38648,3,3,0,0,0,0,0,723.25
7/1/2016,ds_9291572_1312649_126155465_303358625_70340428,3,3,0,0,0,0,0,728.82
7/1/2016,ds_9291572_1852306_126154398_299137473_69227172,3,3,0,0,0,0,0,743.01
7/1/2016,ps_ggl_41242,3,18,0,0,0,0,0,765.74
7/1/2016,ps_ggl_50920,3,8,0,0,0,0,0,786.47
7/1/2016,76050023,3,11,0,0,0,0,0,794.20
7/1/2016,ds_9291572_1312649_126155481_299137473_70333951,3,3,0,0,0,0,0,851.63
7/1/2016,Vanity20013,3,8,0,0,0,0,0,900.01
7/1/2016,ds_9291572_1853903_126154332_299137093_70340428,3,3,0,0,0,0,0,917.13
7/1/2016,ds_9291572_1853903_126154323_299137093_69129058,3,4,0,0,0,0,0,922.32
7/1/2016,ps_ggl_35112,3,3,0,0,0,0,0,1043.76
7/1/2016,ds_9291572_1312649_126155481_299137473_69127088,3,3,0,0,0,0,0,1146.44
7/1/2016,ps_ggl_42036,3,5,0,0,0,0,0,1191.46
7/1/2016,ds_9291572_1320102_126155017_299137093_68161982,3,3,0,0,0,0,0,1266.63
7/1/2016,ds_9291572_1853903_126154329_299137093_70340428,3,3,0,0,0,0,0,1266.66
7/1/2016,ps_ggl_35127,3,3,0,0,0,0,0,1302.65
7/1/2016,ds_9291572_1852303_126150806_299137093_68165124,3,4,0,0,0,0,0,1318.62
7/1/2016,ps_ggl_37649,3,9,0,0,0,0,0,1596.02
7/1/2016,ps_ggl_48884,3,32,0,0,1,0,0,1629.77
7/1/2016,ps_ggl_41254,3,4,0,0,0,0,0,1723.37
7/1/2016,ps_msn_39030,2,2,0,0,0,0,0,4.62
7/1/2016,ds_9291572_1855905_126150867_299137093_69129019,2,2,0,0,0,0,0,4.71
7/1/2016,ps_ggl_41712,2,2,0,0,0,0,0,11.43
7/1/2016,ds_9291572_1320102_126155017_299137093_69129019,2,2,0,0,0,0,0,16.08
7/1/2016,ps_ggl_34760,2,4,0,0,0,0,0,20.17
7/1/2016,ps_msn_39676,2,3,0,0,0,0,0,25.52
7/1/2016,ps_msn_39077,2,2,0,0,0,0,0,29.29
7/1/2016,ds_9291572_1853903_126154327_299137099_68165803,2,2,0,0,0,0,0,36.07
7/1/2016,20121001-IM-CTDS_SEM_Micro,2,3,0,0,0,0,0,41.85
7/1/2016,ps_ggl_54018,2,2,0,0,0,0,0,41.86
7/1/2016,ds_9291572_1855905_126150867_299137093_69129058,2,7,0,0,0,0,0,42.05
7/1/2016,ps_ggl_41433,2,6,0,0,0,0,0,44.47
7/1/2016,ds_9291572_1852303_126150851_299137473_69126143,2,2,0,0,0,0,0,52.47
7/1/2016,ds_9291572_1320102_126155025_299137473_69127088,2,2,0,0,0,0,0,55.52
7/1/2016,ds_9291572_1852303_126154349_299137473_70333951,2,2,0,0,0,0,0,64.53
7/1/2016,ps_msn_50503,2,2,0,0,0,0,0,65.68
7/1/2016,ds_9291572_1853903_126154329_299137093_69129058,2,2,0,0,0,0,0,67.66
7/1/2016,ds_9291572_2385165_126150817_302953736_0,2,2,0,0,0,0,0,69.18
7/1/2016,ps_msn_38980,2,5,0,0,0,0,0,70.41
7/1/2016,ds_9291572_1312649_126155480_299477034_68165123,2,2,0,0,0,0,0,70.60
7/1/2016,ps_ggl_40955,2,2,0,0,0,0,0,82.49
7/1/2016,ps_ggl_50765,2,2,0,0,0,0,0,94.64
7/1/2016,ps_ggl_41142,2,5,0,0,0,0,0,100.63
7/1/2016,ps_msn_38833,2,2,0,0,0,0,0,110.69
7/1/2016,11575086371,2,3,0,0,0,0,0,111.54
7/1/2016,ps_msn_38615,2,3,0,0,0,0,0,113.92
7/1/2016,ps_msn_38912,2,3,0,0,0,0,0,113.94
7/1/2016,ds_9291572_953793_126284466_299137093_68161982,2,2,0,0,0,0,0,114.68
7/1/2016,ps_ggl_40618,2,5,0,0,0,0,0,115.63
7/1/2016,ps_msn_22545,2,8,0,0,0,0,0,122.80
7/1/2016,ps_ggl_41079,2,2,0,0,0,0,0,124.32
7/1/2016,ps_msn_38796,2,2,0,0,0,0,0,125.16
7/1/2016,ps_ggl_41998,2,2,0,0,0,0,0,130.32
7/1/2016,ds_9291572_1853903_126154320_299137093_68161982,2,2,0,0,0,0,0,136.25
7/1/2016,ps_msn_39655,2,4,0,0,1,0,0,142.66
7/1/2016,ps_msn_39118,2,2,0,0,0,0,0,144.30
7/1/2016,ds_9291572_1320102_126155023_299137093_68165124,2,2,0,0,0,0,0,149.33
7/1/2016,ds_9291572_1320102_126155018_299137093_70340428,2,2,0,0,0,0,0,156.86
7/1/2016,ps_ggl_34809,2,12,0,0,0,0,0,165.65
7/1/2016,ps_ggl_40789,2,4,0,0,0,0,0,175.20
7/1/2016,ps_ggl_36297,2,20,0,0,0,0,0,190.25
7/1/2016,ds_9291572_1526601_126150835_299137093_70340428,2,2,0,0,0,0,0,211.94
7/1/2016,ps_ggl_40779,2,11,0,0,0,0,0,214.58
7/1/2016,ps_ggl_41478,2,29,0,0,0,0,0,226.67
7/1/2016,ds_9291572_702495_126155433_299141023_69178396,2,2,0,0,0,0,0,235.70
7/1/2016,ds_9291572_1320102_126155019_299137473_69126143,2,2,0,0,0,0,0,241.46
7/1/2016,ds_9291572_1853903_126154324_299137099_68273537,2,2,0,0,0,0,0,259.09
7/1/2016,ds_9291572_1320102_126155025_299137473_68164252,2,2,0,0,0,0,0,260.22
7/1/2016,ds_9291572_1852306_126154395_299137473_68162179,2,2,0,0,0,0,0,274.03
7/1/2016,ds_9291572_1853903_126154332_299137093_68161982,2,2,0,0,0,0,0,276.64
7/1/2016,ps_ggl_41069,2,3,0,0,0,0,0,278.51
7/1/2016,ds_9291572_1664565_126154362_299137093_69129058,2,2,0,0,0,0,0,292.70
7/1/2016,ds_9291572_1852303_126150854_299137099_68165803,2,3,0,0,0,0,0,293.30
7/1/2016,ds_9291572_702495_126155439_299137093_68161982,2,2,0,0,0,0,0,304.29
7/1/2016,ps_ggl_41844,2,12,0,0,0,0,0,309.87
7/1/2016,ds_9291572_1320102_126155024_299137473_68162179,2,2,0,0,0,0,0,311.28
7/1/2016,ps_ggl_50813,2,2,0,0,0,0,0,324.78
7/1/2016,75358324,2,7,0,0,0,0,0,361.44
7/1/2016,ps_msn_38443,2,11,0,0,0,0,0,371.01
7/1/2016,ds_9291572_953793_126284472_299137093_68165124,2,2,0,0,0,0,0,378.84
7/1/2016,ds_9291572_1853903_126154321_299137099_70324694,2,2,0,0,0,0,0,411.58
7/1/2016,ds_9291572_702495_126155434_299137099_70324694,2,2,0,0,0,0,0,475.17
7/1/2016,ps_msn_38770,2,4,0,0,0,0,0,477.34
7/1/2016,ps_msn_38715,2,4,0,0,0,0,0,477.35
7/1/2016,ds_9291572_1853903_126154327_299137099_69123842,2,2,0,0,0,0,0,487.55
7/1/2016,ds_9291572_1853903_126154329_299137093_68165124,2,2,0,0,0,0,0,491.72
7/1/2016,ps_msn_38853,2,3,0,0,0,0,0,501.60
7/1/2016,ps_msn_50420,2,3,0,0,0,0,0,509.94
7/1/2016,ps_ggl_45866,2,3,0,0,0,0,0,523.80
7/1/2016,ps_msn_38602,2,8,0,0,0,0,0,525.33
7/1/2016,ps_ggl_40621,2,19,1,0,0,0,0,529.31
7/1/2016,ds_9291572_1312649_126155480_299477034_68269471,2,4,0,0,0,0,0,534.71
7/1/2016,ps_ggl_41505,2,8,0,0,0,0,0,540.81
7/1/2016,ds_9291572_1559768_126154384_299137093_69129058,2,2,0,0,0,0,0,541.30
7/1/2016,ps_ggl_41151,2,5,0,0,0,0,0,577.33
7/1/2016,11576882148,2,2,1,0,0,0,0,593.41
7/1/2016,ps_ggl_41294,2,6,1,1,0,0,0,596.91
7/1/2016,ps_msn_39656,2,10,0,0,0,0,0,600.76
7/1/2016,ps_ggl_41568,2,8,0,0,0,0,0,601.67
7/1/2016,ds_9291572_1853903_126154326_299137093_68165124,2,2,0,0,0,0,0,625.93
7/1/2016,ps_ggl_34715,2,2,0,0,0,0,0,635.13
7/1/2016,OMSLit10055,2,43,0,0,0,0,0,638.97
7/1/2016,ds_9291572_1852303_126150806_299137093_68269976,2,2,0,0,0,0,0,651.05
7/1/2016,ps_ggl_42050,2,4,0,0,0,0,0,677.88
7/1/2016,ds_9291572_1559768_126154382_299137099_68162955,2,4,0,0,0,0,0,695.84
7/1/2016,ps_ggl_41771,2,9,0,0,0,0,0,724.91
7/1/2016,ds_9291572_1320102_126155024_299137473_70333951,2,2,0,0,0,0,0,725.74
7/1/2016,ds_9291572_702495_126155006_299141023_68278900,2,2,0,0,0,0,0,745.80
7/1/2016,ps_ggl_40698,2,2,0,0,0,0,0,763.58
7/1/2016,ds_9291572_1853903_126154329_299137093_69129019,2,2,0,0,0,0,0,774.08
7/1/2016,ds_9291572_1320102_126155025_299137473_70333951,2,2,0,0,0,0,0,777.91
7/1/2016,ds_9291572_1853903_126154321_299137099_68273537,2,2,0,0,0,0,0,796.14
7/1/2016,ps_msn_39158,2,13,0,0,0,0,0,810.18
7/1/2016,11576882130,2,2,0,0,0,0,0,811.95
7/1/2016,ds_9291572_702495_126155013_299137093_70340428,2,2,0,0,0,0,0,844.49
7/1/2016,ds_9291572_702495_126155012_299137093_68161982,2,2,0,0,0,0,0,856.85
7/1/2016,ps_ggl_40997,2,27,0,0,0,0,0,866.39
7/1/2016,ds_9291572_1853903_126154324_299137099_70324694,2,2,0,0,0,0,0,879.46
7/1/2016,ds_9291572_1320102_126155024_299137473_69227172,2,2,0,0,0,0,0,884.69
7/1/2016,ps_ggl_41248,2,16,0,0,0,0,0,888.70
7/1/2016,ds_9291572_1312649_126155483_299137093_69129058,2,2,0,0,0,0,0,889.93
7/1/2016,ds_9291572_1853903_126154333_299137099_69129227,2,4,0,0,0,0,0,891.10
7/1/2016,ds_9291572_1853903_126154330_299137099_69123816,2,2,0,0,0,0,0,904.11
7/1/2016,ps_ggl_41857,2,2,0,0,0,0,0,904.52
7/1/2016,ps_msn_39027,2,2,0,0,0,0,0,947.15
7/1/2016,ps_ggl_40923,2,4,0,0,0,0,0,959.55
